,artist_names,track_id,popularity,Value
0,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,71.0,album rock
1,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,71.0, classic rock
2,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,71.0, country rock
3,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,71.0, folk
4,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,71.0, folk rock
5,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,71.0, rock
6,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,71.0, roots rock
7,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,71.0, singer-songwriter
8,Nirvana,5ghIJDpPoe3CfHMGu71E6T,81.0,alternative rock
9,Nirvana,5ghIJDpPoe3CfHMGu71E6T,81.0, grunge
10,Nirvana,5ghIJDpPoe3CfHMGu71E6T,81.0, permanent wave
11,Nirvana,5ghIJDpPoe3CfHMGu71E6T,81.0, rock
12,The Beatles,0hKRSZhUGEhKU6aNSPBACZ,83.0,beatlesque
13,The Beatles,0hKRSZhUGEhKU6aNSPBACZ,83.0, british invasion
14,The Beatles,0hKRSZhUGEhKU6aNSPBACZ,83.0, classic rock
15,The Beatles,0hKRSZhUGEhKU6aNSPBACZ,83.0, merseybeat
16,The Beatles,0hKRSZhUGEhKU6aNSPBACZ,83.0, psychedelic rock
17,The Beatles,0hKRSZhUGEhKU6aNSPBACZ,83.0, rock
18,The Beach Boys,5Qt4Cc66g24QWwGP3YYV9y,72.0,baroque pop
19,The Beach Boys,5Qt4Cc66g24QWwGP3YYV9y,72.0, brill building pop
20,The Beach Boys,5Qt4Cc66g24QWwGP3YYV9y,72.0, classic rock
21,The Beach Boys,5Qt4Cc66g24QWwGP3YYV9y,72.0, psychedelic rock
22,The Beach Boys,5Qt4Cc66g24QWwGP3YYV9y,72.0, rock
23,The Beach Boys,5Qt4Cc66g24QWwGP3YYV9y,72.0, sunshine pop
24,Chuck Berry,2QfiRTz5Yc8DdShCxG1tB2,65.0,classic rock
25,Chuck Berry,2QfiRTz5Yc8DdShCxG1tB2,65.0, rock
26,Chuck Berry,2QfiRTz5Yc8DdShCxG1tB2,65.0, rock-and-roll
27,Chuck Berry,2QfiRTz5Yc8DdShCxG1tB2,65.0, rockabilly
28,Aretha Franklin,7s25THrKz86DM225dOYwnr,70.0,classic soul
29,Aretha Franklin,7s25THrKz86DM225dOYwnr,70.0, jazz blues
30,Aretha Franklin,7s25THrKz86DM225dOYwnr,70.0, memphis soul
31,Aretha Franklin,7s25THrKz86DM225dOYwnr,70.0, soul
32,Aretha Franklin,7s25THrKz86DM225dOYwnr,70.0, southern soul
