,track_popularity,album_released_date,id
0,70,1965-08-30,3AhXZa8sUQht0UEdBJgpGc
1,80,1991-09-26,5ghIJDpPoe3CfHMGu71E6T
2,65,1967-06-01,0hKRSZhUGEhKU6aNSPBACZ
3,22,1967-09-18,5Qt4Cc66g24QWwGP3YYV9y
4,76,1959-07-01,2QfiRTz5Yc8DdShCxG1tB2
5,74,1967-03-10,7s25THrKz86DM225dOYwnr
6,69,2011-02-22,2G2YzndIA6jeWFPBXhUjh5
7,71,1971-05-21,3Um9toULmYFGCpvaIPFw7l
8,72,1968-08-26,1tqT6DhmsrtQgyCKUwotiw
9,77,1965-07-30,2PzU4IB8Dr6mxV3lHuaG34
10,85,1982-11-30,5ChkMS8OtdzJeqyybCc9R5
11,64,2022-02-18,1iUgrte2PxLxQ6Te95RnAV
12,73,1975-08-25,6hTcuIQa0sxrrByu9wTD7s
13,65,1965-12-03,4u9f8hqstB7iITDJNzKhQx
14,70,1980-06-01,34iOH7LY3vme5rQxsVILZ4
15,69,1966-06-16,6iGU74CwXuT4XVepjc9Emf
16,64,1968-02-23,4Y4Gd3ty8uut6Qw43c7yJc
17,82,2003,2PpruBYCo4H7WOBJ7Q2EwM
18,55,1977-10-27,3LoDeIbiR12sAznmpNEmKA
19,78,2007-08-20,1ixbwbeBi5ufN4noUKmW5a
20,73,1979,5jzma6gCzYtKB1DbEwFZKH
21,75,1968-12-06,1Ud6moTC0KyXMq1Oxfien0
22,70,1967-11-27,3Am0IbOxmvlSXro7N5iSfZ
23,65,1957-03,2iXcvnD3d1gfLBum0cE5Eg
24,80,1971-11-08,5CQ30WqJwcep0pYcV4AMNc
25,51,1982-10-01,5DuTNKFEjJIySAyJH1yNDU
26,45,2005-01-18,3JvDEbXLKUxaNv0D0txup5
27,77,1971-09-09,7pKfPomDEeI4TPT6EOYjn9
28,67,1964-03-01,0KOE1hat4SIer491XKk4Pa
29,78,1977,7Jh1bpe76CNTCgdgAdBw4Z
30,71,1984-06-25,51H2y6YrNNXcy3dfc3qSbA
31,69,1972-10-28,4N0TP4Rmj6QQezWV88ARNJ
32,71,1995-10-30,2fXKyAyPrEa24c6PJyqznF
33,77,1969-12-05,6H3kDe7CGoWYBabAeVWGiD
